2006-08-01;2006-08-01;4;106;3;103;74;632;632.0;632.0;708.8648648648649;5.962264150943396;6.135922330097087;8.54054054054054
2006-08-01;2006-08-01;7;106;3;103;76;1148;1148.0;1148.0;1299.0526315789473;10.830188679245284;11.145631067961165;15.105263157894736
2006-08-01;2006-08-01;10;106;3;103;81;1627;1627.0;1627.0;1727.432098765432;15.349056603773585;15.79611650485437;20.08641975308642
2006-08-01;2006-08-01;13;106;3;103;81;1773;1773.0;1773.0;1882.4444444444446;16.72641509433962;17.21359223300971;21.88888888888889
2006-08-01;2006-08-01;16;106;3;103;88;2032;2032.0;2032.0;2032.0;19.169811320754718;19.728155339805824;23.09090909090909
2006-08-01;2006-08-01;19;106;3;103;90;2576;2576.0;2576.0;2576.0;24.30188679245283;25.009708737864077;28.622222222222224
2007-08-01;2007-08-01;4;87;2;85;59;515;627.4712643678162;624.0588235294117;724.4915254237288;5.919540229885057;6.0588235294117645;8.728813559322035
2007-08-01;2007-08-01;7;87;2;85;63;1046;1274.4367816091956;1267.5058823529412;1427.873015873016;12.022988505747126;12.305882352941177;16.603174603174605
2007-08-01;2007-08-01;10;87;2;85;64;1445;1760.5747126436784;1750.9999999999998;1941.71875;16.60919540229885;17.0;22.578125
2007-08-01;2007-08-01;13;87;2;85;64;1557;1897.0344827586207;1886.7176470588233;2092.21875;17.896551724137932;18.31764705882353;24.328125
2007-08-01;2007-08-01;16;87;2;85;72;1896;2310.0689655172414;2297.505882352941;2317.3333333333335;21.79310344827586;22.305882352941175;26.333333333333332
2007-08-01;2007-08-01;19;87;2;85;73;2399;2922.919540229885;2907.0235294117647;2957.6712328767126;27.57471264367816;28.223529411764705;32.863013698630134
2008-08-01;2008-08-01;4;67;2;65;56;420;664.4776119402985;665.5384615384615;622.5;6.268656716417911;6.461538461538462;7.5
2008-08-01;2008-08-01;7;67;2;65;60;1037;1640.6268656716418;1643.2461538461537;1486.3666666666668;15.477611940298507;15.953846153846154;17.283333333333335
2008-08-01;2008-08-01;10;67;2;65;60;1325;2096.268656716418;2099.6153846153843;1899.1666666666667;19.776119402985074;20.384615384615383;22.083333333333332
2008-08-01;2008-08-01;13;67;2;65;60;1438;2275.0447761194027;2278.676923076923;2061.133333333333;21.46268656716418;22.123076923076923;23.966666666666665
2008-08-01;2008-08-01;16;67;2;65;61;1646;2604.1194029850744;2608.276923076923;2374.5573770491806;24.567164179104477;25.323076923076922;26.983606557377048
2008-08-01;2008-08-01;19;67;2;65;63;1945;3077.1641791044776;3082.076923076923;2778.5714285714284;29.029850746268657;29.923076923076923;30.873015873015873
2009-08-01;2009-08-01;4;58;1;57;43;348;636.0;628.8421052631579;671.7209302325582;6.0;6.105263157894737;8.093023255813954
2009-08-01;2009-08-01;7;58;1;57;47;851;1555.2758620689656;1537.7719298245615;1557.1489361702127;14.672413793103448;14.929824561403509;18.106382978723403
2009-08-01;2009-08-01;10;58;1;57;47;1248;2280.8275862068967;2255.157894736842;2283.574468085106;21.517241379310345;21.894736842105264;26.5531914893617
2009-08-01;2009-08-01;13;58;1;57;47;1390;2540.344827586207;2511.754385964912;2543.404255319149;23.96551724137931;24.385964912280702;29.574468085106382
2009-08-01;2009-08-01;16;58;1;57;52;1640;2997.241379310345;2963.508771929825;2775.3846153846152;28.275862068965516;28.771929824561404;31.53846153846154
2009-08-01;2009-08-01;19;58;1;57;53;2141;3912.8620689655177;3868.824561403509;3635.6603773584907;36.91379310344828;37.56140350877193;40.39622641509434
2010-08-01;2010-08-01;4;72;4;68;62;440;647.7777777777778;666.4705882352941;589.0322580645161;6.111111111111111;6.470588235294118;7.096774193548387
2010-08-01;2010-08-01;7;72;4;68;66;1209;1779.9166666666667;1831.2794117647059;1575.3636363636363;16.791666666666668;17.779411764705884;18.318181818181817
2010-08-01;2010-08-01;10;72;4;68;67;1752;2579.3333333333335;2653.7647058823527;2248.8358208955224;24.333333333333332;25.764705882352942;26.149253731343283
2010-08-01;2010-08-01;13;72;4;68;67;1943;2860.527777777778;2943.0735294117644;2494.0;26.98611111111111;28.573529411764707;29.0
2010-08-01;2010-08-01;16;72;4;68;70;2242;3300.7222222222226;3395.970588235294;2818.5142857142855;31.13888888888889;32.970588235294116;32.02857142857143
2010-08-01;2010-08-01;19;72;4;68;70;2722;4007.388888888889;4123.029411764705;3499.714285714286;37.80555555555556;40.029411764705884;38.885714285714286
2011-08-01;2011-08-01;4;67;1;66;57;470;743.5820895522388;733.4848484848485;684.3859649122808;7.014925373134329;7.121212121212121;8.24561403508772
2011-08-01;2011-08-01;7;67;1;66;58;1295;2048.8059701492534;2020.9848484848485;1920.1724137931035;19.328358208955223;19.62121212121212;22.32758620689655
2011-08-01;2011-08-01;10;67;1;66;58;1711;2706.955223880597;2670.1969696969695;2537.0;25.53731343283582;25.924242424242426;29.5
2011-08-01;2011-08-01;13;67;1;66;58;1867;2953.7611940298507;2913.651515151515;2768.3103448275865;27.865671641791046;28.28787878787879;32.189655172413794
2011-08-01;2011-08-01;16;67;1;66;59;2116;3347.7014925373132;3302.242424242424;3156.0677966101694;31.582089552238806;32.06060606060606;35.86440677966102
2011-08-01;2011-08-01;19;67;1;66;59;2474;3914.089552238806;3860.939393939394;3773.8983050847455;36.92537313432836;37.484848484848484;41.932203389830505
2012-08-01;2012-08-01;4;91;8;83;83;678;789.7582417582419;841.3734939759037;678.0;7.450549450549451;8.168674698795181;8.168674698795181
2012-08-01;2012-08-01;7;91;8;83;86;1658;1931.2967032967035;2057.518072289157;1658.0;18.21978021978022;19.97590361445783;19.27906976744186
2012-08-01;2012-08-01;10;91;8;83;86;1658;1931.2967032967035;2057.518072289157;1658.0;18.21978021978022;19.97590361445783;19.27906976744186
2012-08-01;2012-08-01;13;91;8;83;86;1658;1931.2967032967035;2057.518072289157;1658.0;18.21978021978022;19.97590361445783;19.27906976744186
2012-08-01;2012-08-01;16;91;8;83;86;1658;1931.2967032967035;2057.518072289157;1696.5581395348838;18.21978021978022;19.97590361445783;19.27906976744186
2012-08-01;2012-08-01;19;91;8;83;86;1658;1931.2967032967035;2057.518072289157;1735.1162790697676;18.21978021978022;19.97590361445783;19.27906976744186
